Place,Division,Class,Last Name,First Name,IDPA ID,Location,Shooter Number,Squad,Session,Completed,DNF,Categories,Total Score,Total PD,Hits on Non-Threat,Procedural Error,Failure to Do Right,Flagrant,Finger PE,Stage 1 Time,Stage 1 String 1,Stage 1 PD,Stage 1 Hits on Non-Threat,Stage 1 Procedural Error,Stage 1 Failure to Do Right,Stage 1 Flagrant,Stage 1 Finger PE,Stage 1 DNF,Stage 2 Time,Stage 2 String 1,Stage 2 PD,Stage 2 Hits on Non-Threat,Stage 2 Procedural Error,Stage 2 Failure to Do Right,Stage 2 Flagrant,Stage 2 Finger PE,Stage 2 DNF,Stage 3 Time,Stage 3 String 1,Stage 3 PD,Stage 3 Hits on Non-Threat,Stage 3 Procedural Error,Stage 3 Failure to Do Right,Stage 3 Flagrant,Stage 3 Finger PE,Stage 3 DNF,Stage 4 Time,Stage 4 String 1,Stage 4 PD,Stage 4 Hits on Non-Threat,Stage 4 Procedural Error,Stage 4 Failure to Do Right,Stage 4 Flagrant,Stage 4 Finger PE,Stage 4 DNF,Stage 5 Time,Stage 5 String 1,Stage 5 PD,Stage 5 Hits on Non-Threat,Stage 5 Procedural Error,Stage 5 Failure to Do Right,Stage 5 Flagrant,Stage 5 Finger PE,Stage 5 DNF,Stage 6 Time,Stage 6 String 1,Stage 6 PD,Stage 6 Hits on Non-Threat,Stage 6 Procedural Error,Stage 6 Failure to Do Right,Stage 6 Flagrant,Stage 6 Finger PE,Stage 6 DNF,Stage 7 Time,Stage 7 String 1,Stage 7 PD,Stage 7 Hits on Non-Threat,Stage 7 Procedural Error,Stage 7 Failure to Do Right,Stage 7 Flagrant,Stage 7 Finger PE,Stage 7 DNF,Stage 8 Time,Stage 8 String 1,Stage 8 PD,Stage 8 Hits on Non-Threat,Stage 8 Procedural Error,Stage 8 Failure to Do Right,Stage 8 Flagrant,Stage 8 Finger PE,Stage 8 DNF
11,ESP,MA,100 Rueangpracha,Nararit,100,,,6,,1,0,,184.74,38,,1,,,,18.94,17.94,1,,,,,,,15.64,15.64,,,,,,,,28.69,21.69,7,,,,,,,20.07,19.07,1,,,,,,,15.92,13.92,2,,,,,,,25.24,17.24,5,,1,,,,,21.61,21.61,,,,,,,,38.63,16.63,22,,,,,,
12,SSP,MA,214 Atchararuji,Itsarawut,214,,,12,,1,0,,187.86,10,,,,,,17.80,17.80,,,,,,,,16.19,16.19,,,,,,,,17.67,17.67,,,,,,,,22.93,19.93,3,,,,,,,14.65,13.65,1,,,,,,,18.41,18.41,,,,,,,,40.06,40.06,,,,,,,,40.15,34.15,6,,,,,,
13,SPD,ALL,201 Hasalem,Atisak,201,,,6,,1,0,,191.26,27,1,,,,,17.98,16.98,1,,,,,,,16.76,16.76,,,,,,,,33.48,18.48,10,1,,,,,,23.72,19.72,4,,,,,,,15.64,15.64,,,,,,,,23.78,19.78,4,,,,,,,27.90,27.90,,,,,,,,32.00,24.00,8,,,,,,
14,PCC,ALL,094 Chintawan,Satit,94,,,5,,1,0,,193.08,35,2,,,,,22.58,20.58,2,,,,,,,18.89,17.89,1,,,,,,,33.22,18.22,5,2,,,,,,26.61,15.61,11,,,,,,,16.52,15.52,1,,,,,,,21.94,16.94,5,,,,,,,28.47,27.47,1,,,,,,,24.85,15.85,9,,,,,,
15,ESP,MM,161 Tongsomboon,Kantaphat,161,,,8,,1,0,,193.37,39,,1,,,,22.74,19.74,3,,,,,,,17.67,15.67,2,,,,,,,27.99,19.99,5,,1,,,,,22.02,17.02,5,,,,,,,14.86,12.86,2,,,,,,,26.35,20.35,6,,,,,,,25.98,22.98,3,,,,,,,35.76,22.76,13,,,,,,
16,CCP,EX,194 Eaksirichayakul,Chinnapat,194,,,11,,1,0,,196.31,29,1,,,,,20.56,15.56,5,,,,,,,20.41,18.41,2,,,,,,,23.20,20.20,3,,,,,,,20.93,18.93,2,,,,,,,21.83,13.83,3,1,,,,,,25.02,23.02,2,,,,,,,37.49,34.49,3,,,,,,,26.87,17.87,9,,,,,,
17,CDP,MA,096 Kaenthao,Surachet,96,,,6,,1,0,,198.75,20,,,,,,21.69,21.69,,,,,,,,18.49,17.49,1,,,,,,,30.42,25.42,5,,,,,,,23.43,19.43,4,,,,,,,17.94,15.94,2,,,,,,,23.94,22.94,1,,,,,,,28.82,28.82,,,,,,,,34.02,27.02,7,,,,,,
18,ESP,MM,154 Yamprai,Aunnop,154,,,9,,1,0,Law Enforcement,201.64,14,1,,,,,24.22,24.22,,,,,,,,23.18,23.18,,,,,,,,30.67,19.67,6,1,,,,,,22.55,19.55,3,,,,,,,14.71,14.71,,,,,,,,33.11,32.11,1,,,,,,,20.28,20.28,,,,,,,,32.92,28.92,4,,,,,,
19,CDP,SS,137 Detudom,Lattavit,137,,,8,,1,0,,205.52,37,1,1,,,,22.09,20.09,2,,,,,,,20.03,19.03,1,,,,,,,34.44,16.44,10,1,1,,,,,25.71,20.71,5,,,,,,,16.11,16.11,,,,,,,,26.45,22.45,4,,,,,,,28.27,27.27,1,,,,,,,32.42,18.42,14,,,,,,
20,CDP,EX,057 Nopakijpongpon,Wasutond,57,,,3,,1,0,,205.70,6,,,,,,22.99,22.99,,,,,,,,20.21,19.21,1,,,,,,,23.49,22.49,1,,,,,,,19.91,19.91,,,,,,,,17.91,17.91,,,,,,,,26.56,24.56,2,,,,,,,35.37,34.37,1,,,,,,,39.26,38.26,1,,,,,,
21,PCC,ALL,002 Suntiparapop,Chanatip,2,,,1,,1,0,,205.80,41,2,3,,,,17.46,16.46,1,,,,,,,19.88,18.88,1,,,,,,,30.78,17.78,13,,,,,,,21.86,17.86,4,,,,,,,25.66,15.66,,2,,,,,,26.07,22.07,1,,1,,,,,44.87,17.87,21,,2,,,,,19.22,19.22,,,,,,,
22,CCP,MA,069 Srirongmuang,Siam,69,,,4,,1,0,,205.83,25,2,,,,,25.08,24.08,1,,,,,,,18.47,17.47,1,,,,,,,43.72,19.72,14,2,,,,,,22.68,20.68,2,,,,,,,17.31,16.31,1,,,,,,,22.32,21.32,1,,,,,,,24.08,24.08,,,,,,,,32.17,27.17,5,,,,,,
23,SSP,MM,164 Pravunna,Pollkrit,164,,,9,,1,0,,206.91,19,,1,,,,26.13,25.13,1,,,,,,,21.50,20.50,1,,,,,,,34.02,24.02,10,,,,,,,23.18,22.18,1,,,,,,,15.75,15.75,,,,,,,,32.27,25.27,4,,1,,,,,25.35,24.35,1,,,,,,,28.71,27.71,1,,,,,,
